# CSV-File created with merge-csv.com
# -----------------------------------------------------------

UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
¯\_(ツ)_/¯,@aprivnto,2020-10-06T05:16:49.000Z,"¯\_(ツ)_/¯
@aprivnto
·
6 Okt 2020","Membalas 
@LedakanRantang
 dan 
@UPIfess
buat poin yg magang, i beg to differ. kan magang merdeka belajar ini merupakan hal opsional? artinya ya mau diambil ataupun tidak, hal tsb kembali ke mahasiswa.
1",,1,,,[],https://twitter.com/aprivnto/status/1313347457258938370
Kantor Pertanahan Kabupaten Bantul,@KantahKabBantul,2021-04-18T16:32:21.000Z,"Kantor Pertanahan Kabupaten Bantul
@KantahKabBantul
·
18 Apr 2021","Halo #SobATRBPN Kab Bantul 
@PPSDM_ATRBPN
Halo #SobatATRBPN. Kami membuka kesempatan kepada mahasiswa/i di seluruh universitas di Indonesia untuk bergabung dalam Kegiatan Magang Program Merdeka Belajar-Kampus Merdeka di Ling Kementerian ATR/BPN. http://ppsdm.atrbpn.go.id",🙌,,,,['https://pbs.twimg.com/media/EzRRmF_VcAY_NtG?format=jpg&name=small'],https://twitter.com/KantahKabBantul/status/1383820706278907911
HMIG UNDIP,@HMIG_UNDIP,2021-06-19T04:21:34.000Z,"HMIG UNDIP
@HMIG_UNDIP
·
19 Jun 2021","Magang Bersertifikat Kampus Merdeka adalah sebuah program magang yang dipercepat dan diakselerasikan dengan pengalaman belajar yang dirancang dengan baik.
1",,1,,,"['https://pbs.twimg.com/media/E4N85QNUcAIT5b4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4N85nGVgAI75_g?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4N86DCUYAMLgIj?format=jpg&name=360x360']",https://twitter.com/HMIG_UNDIP/status/1406104848290906117
Kantah Kota Jakarta Selatan,@kantahkotjaksel,2021-07-29T13:16:58.000Z,"Kantah Kota Jakarta Selatan
@kantahkotjaksel
·
29 Jul 2021","Hallo #sobaATRBPN, Hari Jumat 23 Juli 2021 telah dilaksanakan acara Pengarahan Kegiatan Magang pada Program Merdeka Belajar
Kampus Merdeka (MBKM) melalui zoom meeting.
1
3",,1,,3,['https://pbs.twimg.com/media/E7d3C6cVIA0CV15?format=jpg&name=small'],https://twitter.com/kantahkotjaksel/status/1420735101734768645
,@luxuryzuxy,2021-08-21T02:58:21.000Z,"@luxuryzuxy
·
21 Agt 2021","Muatan utama dalam pelaksanaan pendidikan tinggi vokasi yakni Link and match dengan dunia kerja, magang, sertifikasi kompetensi, praktik lebih banyak dari telri, teknologi informasi dan komunikasi (era industri 4.0), soft skill — PBL dan studi kasus, serta merdeka belajar.
1",👀,1,,,[],https://twitter.com/luxuryzuxy/status/1428914341575725061
Didi Diarsa Adiana,@Dididiarsa,2020-03-05T04:15:36.000Z,"Didi Diarsa Adiana
@Dididiarsa
·
5 Mar 2020",Meetup lanjutan bareng Wakil Rektor 1 UI seputar kolaborasi startup dengan program magang dan Kampus Merdeka,,,,,['https://pbs.twimg.com/media/ESUWr11UMAIvVZA?format=jpg&name=small'],https://twitter.com/Dididiarsa/status/1235418662837702663
,@kikeycakra,2020-08-09T17:16:57.000Z,"@kikeycakra
·
10 Agt 2020","Taun lalu gak dapet bonus merdeka karna status nya masih magang. Taun ini, berharap banget dapet, ada isu gakan ada bonus merdeka karna si covid 
Pengen check out syopi sm soco, tp kok jek tgl segini. Si kim book joo udah mewakilkan isi dompet ku 
1",🙃 😭 🥺,,1,,['https://pbs.twimg.com/media/Ee_rKuqUwAAOgq4?format=jpg&name=small'],https://twitter.com/kikeycakra/status/1292510190395224065
pitt,@fitriyuliasa,2020-09-10T16:29:39.000Z,"pitt
@fitriyuliasa
·
10 Sep 2020","sisi lain seneng dapet job nambah fee, tapi sok kadang magang blm kelar dah dikejar deadline, pen cepet Oktober merdeka",,,,,[],https://twitter.com/fitriyuliasa/status/1304094698860998656
¯\_(ツ)_/¯,@aprivnto,2020-10-06T05:16:49.000Z,"¯\_(ツ)_/¯
@aprivnto
·
6 Okt 2020","Membalas 
@LedakanRantang
 dan 
@UPIfess
buat poin yg magang, i beg to differ. kan magang merdeka belajar ini merupakan hal opsional? artinya ya mau diambil ataupun tidak, hal tsb kembali ke mahasiswa.
1",,1,,,[],https://twitter.com/aprivnto/status/1313347457258938370
Kantor Pertanahan Kab. Banyumas,@KantahKabBms,2020-11-02T09:24:46.000Z,"Kantor Pertanahan Kab. Banyumas
@KantahKabBms
·
2 Nov 2020","Penyerahan Mahasiswa Magang Program Kampus Merdeka dari Dekan Fakultas Hukum Unsoed kepada Kepala Kantor Pertanahan Kabupaten Banyumas. 
Senin,  2 November 2020 @ Kantor BPN Purwokerto https://instagram.com/p/CHFU-ZnsIJx/?igshid=qpauws65gup6…",,,,,[],https://twitter.com/KantahKabBms/status/1323194327754067968
Kantor Pertanahan Kabupaten Bantul,@KantahKabBantul,2021-04-18T16:32:21.000Z,"Kantor Pertanahan Kabupaten Bantul
@KantahKabBantul
·
18 Apr 2021","Halo #SobATRBPN Kab Bantul 
@PPSDM_ATRBPN
Halo #SobatATRBPN. Kami membuka kesempatan kepada mahasiswa/i di seluruh universitas di Indonesia untuk bergabung dalam Kegiatan Magang Program Merdeka Belajar-Kampus Merdeka di Ling Kementerian ATR/BPN. http://ppsdm.atrbpn.go.id",🙌,,,,['https://pbs.twimg.com/media/EzRRmF_VcAY_NtG?format=jpg&name=small'],https://twitter.com/KantahKabBantul/status/1383820706278907911
Wahfudin,@wahfudin11,2021-06-18T11:58:16.000Z,"Wahfudin
@wahfudin11
·
18 Jun 2021","Ini program magang kampus merdeka bisa gk ya mahasiswa PTKIN? Hilih kampuku adem ayem 
@UINSK
 @KemenkesRI
Media berikut mengandung konten yang mungkin sensitif. Ubah pengaturan
Lihat
1",,1,,,[],https://twitter.com/wahfudin11/status/1405857393095811073
